Id,weight,modularity_class,Degree,Weighted Degree,X,Y,Size,Color
civilians,38,0,2,38,62.516018,-500.309998,10.015098,"#ff6922"
climatescam,16,5,1,16,496.199463,77.587753,10.001812,"#16a6cc"
cnbc,271,34,19,271,-391.230652,312.920563,10.155807,"#6c3e00"
fox,281,34,19,281,-451.325592,341.486481,10.161845,"#6c3e00"
gop,335,34,22,335,-354.131317,374.074066,10.194456,"#6c3e00"
huffpost,620,34,27,620,-445.28067,274.517181,10.366568,"#6c3e00"
nbc,299,34,20,299,-468.765839,372.273132,10.172716,"#6c3e00"
newsmax,267,34,19,267,-465.041595,309.347839,10.153391,"#6c3e00"
npr,568,34,26,568,-366.85791,274.383575,10.335165,"#6c3e00"
nyt,295,34,19,295,-356.858368,310.49939,10.1703,"#6c3e00"
politico,662,34,27,662,-313.650665,375.826996,10.391932,"#6c3e00"
wapo,654,34,27,654,-332.429718,411.623871,10.3871,"#6c3e00"
foxnews,509,34,24,509,-408.188965,409.423462,10.299535,"#6c3e00"
msnbc,579,34,26,579,-326.475159,287.87677,10.341808,"#6c3e00"
wsj,308,34,20,308,-333.136261,342.911743,10.178151,"#6c3e00"
racisteu,1369,35,18,1369,-445.073547,-370.643707,10.81889,"#9555a4"
racistukraine,2071,35,29,2071,-426.644226,-404.637604,11.242828,"#9555a4"
whitesupremacists,292,35,10,292,-313.924591,-369.233948,10.168489,"#9555a4"
whitesupremacy,1110,35,18,1110,-377.194031,-414.708954,10.662479,"#9555a4"
congress,41,5,2,41,342.620483,149.227875,10.01691,"#16a6cc"
corrupt,69,5,3,69,434.694946,-19.573395,10.033818,"#16a6cc"
corruption,276,13,6,276,76.408775,121.895027,10.158826,"#00aa6e"
crimea,486,3,12,486,-163.783295,-274.126709,10.285645,"#ff72c0"
crimeabridge,37,5,1,37,555.529968,161.307999,10.014494,"#16a6cc"
crimeaisrussia,91,43,4,91,-43.637947,479.221191,10.047104,"#0c4316"
dealwithit,72,43,4,72,-11.489003,459.477936,10.03563,"#0c4316"
